level,1,2,3,4,5,6,7,8,9,10,$/point
Java,1,3,5,7,9,11,13,15,17,19,2
C,1,3,5,7,9,11,13,15,17,19,2
C++,1,3,5,7,9,11,13,15,17,19,2
C#,1,3,5,7,9,11,13,15,17,19,2
VB,1,3,5,7,9,11,13,15,17,19,2
Python,1,3,5,7,9,11,13,15,17,19,2
PHP,1,3,5,7,9,11,13,15,17,19,2
Ruby,1,3,5,7,9,11,13,15,17,19,2
Perl,1,3,5,7,9,11,13,15,17,19,2
Lisp,2,6,10,14,18,22,26,30,34,38,4
Haskell,2,6,10,14,18,22,26,30,34,38,4
Erlang,1,3,5,7,9,11,13,15,17,19,2
Prolog,1,3,5,7,9,11,13,15,17,19,2
Forth,2,6,10,14,18,22,26,30,34,38,4
SQL,1,3,5,7,9,11,13,15,17,19,2
PL/SQL,1,3,5,7,9,11,13,15,17,19,2
T-SQL,1,3,5,7,9,11,13,15,17,19,2
VHDL,2,4,6,8,10,12,14,16,18,20,2
Unix,1,3,5,7,9,11,13,15,17,19,2
Windows,1,3,5,7,9,11,13,15,17,19,2
Oracle,1,3,5,7,9,11,13,15,17,19,2
SQLServer,1,3,5,7,9,11,13,15,17,19,2
MySQL,1,3,5,7,9,11,13,15,17,19,2
NoSQL,1,3,5,7,9,11,13,15,17,19,2
UI development,1,3,5,7,9,11,13,15,17,19,2
Scalability,1,3,5,7,9,11,13,15,17,19,2
Documentation,1,3,5,7,9,11,13,15,17,19,2
Performance,1,3,5,7,9,11,13,15,17,19,2
Design,2,4,8,16,32,64,128,256,512,1024,5
Algorithms,3,6,12,24,48,96,192,384,768,1536,5
Analysis,2,4,8,16,32,64,128,256,512,1024,5
Team player,2,4,8,16,32,64,128,256,512,1024,5
Communication,2,4,8,16,32,64,128,256,512,1024,5
Config management,5,7,9,11,13,15,17,19,21,23,2
